video_id,channel_id,duration(sec),domain,link,has_persian,has_dari,has_iranian,has_pashto
0RmC_IY1YC8,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=0RmC_IY1YC8,True,True,False,False
kN4f29dasEY,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=kN4f29dasEY,True,True,False,False
bKS-ziVngVw,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=bKS-ziVngVw,True,True,False,False
mIXMGhsTI2o,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=mIXMGhsTI2o,True,True,False,False
dwk_ySKkfJk,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=dwk_ySKkfJk,True,True,False,False
eQUTW0D6Muc,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=eQUTW0D6Muc,True,True,False,False
0hiNQIUuCHM,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=0hiNQIUuCHM,True,True,False,False
8b07FP5VT7E,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=8b07FP5VT7E,True,True,False,False
oj21-rZHUGA,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=oj21-rZHUGA,True,True,False,False
HhNOcNAR8Yw,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=HhNOcNAR8Yw,True,True,False,False
EH30wOEggTE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=EH30wOEggTE,True,True,False,False
RK9VwffVZF0,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=RK9VwffVZF0,True,True,False,False
sRgfiSCUwpU,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=sRgfiSCUwpU,True,True,False,False
8q2qRFN_FvQ,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=8q2qRFN_FvQ,True,True,False,False
YwnNpxxY07o,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=YwnNpxxY07o,True,True,False,False
YjtLA7Dwgnc,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=YjtLA7Dwgnc,True,True,False,False
CYnKbPuNE-s,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=CYnKbPuNE-s,True,True,False,False
dNaWBSAsXiM,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=dNaWBSAsXiM,True,True,False,False
_4euhPMDjfg,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=_4euhPMDjfg,True,True,False,False
WW7Mi2TAD14,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=WW7Mi2TAD14,True,True,False,False
bmNHRXa4S18,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=bmNHRXa4S18,True,True,False,False
eqRsuxJ0rWI,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=eqRsuxJ0rWI,True,True,False,False
aA5SCUzihic,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=aA5SCUzihic,True,True,False,False
JvUq1zHHUcw,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=JvUq1zHHUcw,True,True,False,False
SxEwY-U2iFI,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=SxEwY-U2iFI,True,True,False,False
iDx5aKuhIR4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=iDx5aKuhIR4,True,True,False,False
JJh8hvMu6sI,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=JJh8hvMu6sI,True,True,False,False
C5GjxWPtrP4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=C5GjxWPtrP4,True,True,False,False
NYxLK500gdw,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=NYxLK500gdw,True,True,False,False
EZto0oeK6DU,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=EZto0oeK6DU,True,True,False,False
2nYcnupaJv4,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=2nYcnupaJv4,True,True,False,False
6IU3oqAD7H0,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=6IU3oqAD7H0,True,True,False,False
